record_id,pipeline_id,source_system,data_type,owner_team,ingestion_timestamp,last_validated_at,trust_score,completeness_ratio,freshness_hours,lineage_depth,row_count,null_rate,duplicate_rate,anomaly_score,schema_version,data_format,storage_region,applied_transformations,record_tags,data_classifier,pipeline_status,is_pii_masked,checksum_valid,sla_met,alert_triggered
REC-OUTLIER-1,ERROR_99,DARK_DATA,stolen,bi_squad,2099-01-01,2099-01-01,9.9999,0.5408625,-318.7162500000002,12.375,9999999999,1.0,0.11323750000000002,0.42921249999999994,vX,bin,MARS,JOIN,DANGER,MALICIOUS,failed,False,False,NO,True
REC-4PJ558ME,Batch_Transform_03,MongoDB_Atlas,telemetry,bi_squad,2023-02-25 14:48:13,2024-04-13 09:26:53,0.6603,0.8947,414.51,5.0,635717,0.0644,0.0201,0.2819,v1.3,csv,eu-central-1,JOIN,sensitive|pii,archival,validated,False,True,YES,True
REC-OBXAT7Q1,Batch_Transform_03,Redshift_Cluster,clickstream,bi_squad,2023-02-22 01:37:21,2024-02-05 06:20:41,0.7649,0.9195,659.38,3.0,3286854,0.0895,0.0391,0.1774,v2.2,delta,us-west-2,NORMALIZE,sensitive,raw,quarantined,False,True,YES,False
REC-OQHGJXMJ,Stream_Ingest_02,PostgreSQL_DB,clickstream,bi_squad,2023-02-27 22:42:46,2023-07-14 06:47:38,0.9142,0.7688,390.71,4.0,9898490,0.0894,0.0236,0.2392,v4.1,csv,eu-central-1,NORMALIZE|CAST,sensitive,ml_ready,under_review,False,True,YES,False
REC-US7ZQ71L,Archival_08,FTP_Server,sensor_readings,ml_platform,2024-12-10 23:32:36,2024-12-14 03:08:12,0.5492,0.9919,502.69,4.0,6252288,0.0206,0.0191,0.2315,v1.8,csv,ap-south-1,ENCRYPT|DEDUPLICATE|SPLIT,pii|financial|sensitive,regulatory,validated,False,True,YES,False
REC-QN649JI1,Batch_Transform_03,Snowflake_DW,sensor_readings,finance_ops,2024-08-26 05:48:17,2024-10-23 23:03:54,0.7128,0.9914,64.12,6.0,5689437,0.0158,0.0789,0.2053,v3.0,avro,us-west-2,ENRICH|JOIN|FILTER|AGGREGATE,pii|internal,ml_ready,under_review,False,True,YES,False
REC-HQXQ8EKN,Batch_Transform_03,Snowflake_DW,transactions,data_team_beta,2023-10-10 08:48:26,2024-05-12 02:28:56,0.9601,0.7343,220.32,3.0,6682322,0.1051,0.0385,0.2452,v3.1,json,eu-central-1,ENRICH,sensitive|internal|batch,high_value,quarantined,False,True,YES,True
REC-MISSING-SAB,Batch_Transform_03,MongoDB_Atlas,sensor_readings,bi_squad,Unknown,Unknown,0.0000,0.5408625,390.71,5.0,0,1.0000,0.0,0.42921249999999994,v4.4,delta,ap-south-1,JOIN,pii,raw,quarantined,False,False,NO,True
REC-73GWQBG1,Aggregation_05,REST_API_v2,sensor_readings,finance_ops,2023-01-15 11:40:26,2024-05-31 15:42:41,0.5841,0.9005,180.31,8.0,4848567,0.0792,0.0205,0.0483,v5.6,delta,us-east-1,AGGREGATE|CAST|NORMALIZE,pii,archival,active,False,True,NO,False
REC-7MLSG7JZ,CDC_Pipeline_04,Snowflake_DW,clickstream,analytics_core,2024-07-19 18:43:32,2024-11-11 02:00:45,0.7045,0.7119,208.75,7.0,7626621,0.0682,0.0258,0.132,v2.4,orc,us-west-2,ENCRYPT|JOIN,pii|real_time|sensitive,ml_ready,validated,False,False,YES,False
REC-7O10YX1R,Reporting_07,Redshift_Cluster,clickstream,data_team_beta,2024-08-06 22:18:54,2024-10-27 12:32:38,0.5523,0.8076,416.95,4.0,6851229,0.0242,0.0052,0.2436,v4.0,delta,ap-south-1,SPLIT|AGGREGATE|NORMALIZE|DEDUPLICATE,pii|financial|operational,regulatory,quarantined,True,False,YES,False
REC-OKNKNNR3,Aggregation_05,Kafka_Stream,clickstream,analytics_core,2023-10-17 06:18:17,2024-04-04 14:02:52,0.7723,0.8675,475.85,3.0,6301378,0.0314,0.0698,0.1,v4.0,csv,ap-southeast-1,SPLIT,sensitive,raw,deprecated,True,True,YES,True
REC-DYRQN816,ML_Feature_06,S3_Bucket_A,financial_records,infra_team,2023-10-10 00:22:42,2024-07-27 09:05:51,0.6786,0.9623,110.63,3.0,7199349,0.1265,0.0364,0.2823,v4.7,parquet,us-east-1,DEDUPLICATE|NORMALIZE|SPLIT|ENCRYPT,sensitive,low_latency,quarantined,True,True,YES,False
REC-8TO59USG,CDC_Pipeline_04,S3_Bucket_A,audit_logs,bi_squad,2024-05-25 23:33:19,2024-07-03 11:54:51,0.712,0.7083,636.98,6.0,4034239,0.0412,0.0229,0.074,v5.5,json,ap-southeast-1,ENCRYPT|MERGE|DEDUPLICATE,batch|internal|real_time,low_latency,validated,False,False,YES,True
REC-BAD-TIMESTAMP,???_PIPE,CSV_FILE,telemetry,bi_squad,2024-05-06,2024-08-19,0.8894,0.7328,201.54,3.0,9961985,0.0935,0.0163,0.0113,v4.4,json,ap-south-1,ENCRYPT,pii,high_value,validated,False,True,YES,False
REC-4DC5WSJ9,Reporting_07,Kafka_Stream,inventory,data_team_alpha,2023-02-11 14:58:00,2024-06-02 13:21:16,0.9203,0.8187,417.01,1.0,3582629,0.0152,0.0595,0.1435,v2.1,parquet,us-east-1,DEDUPLICATE|MERGE,real_time|sensitive,high_value,under_review,False,True,YES,False
REC-TFSCDAW6,Archival_08,FTP_Server,telemetry,analytics_core,2023-03-13 23:26:45,2024-12-04 14:42:02,0.6671,0.9483,255.71,3.0,3702238,0.0097,0.0743,0.0555,v1.3,parquet,eu-central-1,JOIN|ENCRYPT,sensitive|financial,raw,under_review,True,True,NO,True
REC-MF0Y8KWE,ETL_Pipeline_01,REST_API_v2,inventory,analytics_core,2023-11-15 12:39:14,2024-03-31 15:41:58,0.8256,0.7209,460.47,5.0,2671535,0.0465,0.0466,0.1525,v2.8,orc,us-west-2,ENRICH|ENCRYPT,pii,ml_ready,active,False,True,NO,False
REC-NOGG1TJL,Batch_Transform_03,MongoDB_Atlas,financial_records,bi_squad,2024-09-19 07:48:17,2024-11-10 00:35:43,0.9971,0.9806,453.42,4.0,2438809,0.0472,0.057,0.1961,v1.0,avro,ap-southeast-1,AGGREGATE|MERGE|SPLIT|ENRICH,pii,regulatory,validated,False,True,YES,False
REC-GX6TQ29X,Batch_Transform_03,FTP_Server,clickstream,data_team_alpha,2024-02-29 09:26:22,2024-09-19 05:51:22,0.5965,0.8241,197.76,2.0,445901,0.0538,0.0251,0.0418,v3.6,orc,us-east-1,FILTER|JOIN|DEDUPLICATE|NORMALIZE,internal|public,raw,active,False,True,YES,True
REC-6IY7N28Z,Stream_Ingest_02,PostgreSQL_DB,clickstream,data_team_alpha,2024-08-21 19:40:49,2024-12-26 04:10:33,0.6579,0.8317,362.6,5.0,5859294,0.0344,0.019,0.1125,v5.1,delta,us-east-1,FILTER,public,raw,under_review,True,True,YES,False
REC-NPRE2R2C,Batch_Transform_03,Kafka_Stream,inventory,infra_team,2024-03-15 16:09:58,2024-10-17 08:54:07,0.9069,0.8662,292.75,2.0,9606677,0.1287,0.048,0.2309,v3.0,json,ap-south-1,CAST|JOIN|FILTER,public|financial,low_latency,under_review,False,True,YES,False
REC-P99170TT,Reporting_07,MongoDB_Atlas,user_events,data_team_alpha,2024-03-22 21:41:46,2024-10-13 15:19:26,0.8884,0.8549,319.88,3.0,9251496,0.0624,0.0117,0.233,v2.1,parquet,us-west-2,FILTER,public,high_value,validated,True,True,YES,False
REC-B401CCX4,Stream_Ingest_02,Kafka_Stream,inventory,bi_squad,2023-08-26 04:13:34,2024-02-20 12:15:47,0.6336,0.82,297.74,3.0,1782347,0.1158,0.0066,0.1429,v5.0,json,ap-southeast-1,JOIN,financial|internal,high_value,active,False,True,NO,True
REC-W1W2TB4B,CDC_Pipeline_04,Kafka_Stream,sensor_readings,analytics_core,2023-11-13 21:02:19,2024-02-20 21:57:20,0.9461,0.7263,635.65,3.0,6309702,0.0025,0.069,0.1152,v2.4,avro,us-east-1,JOIN|ENRICH|FILTER|AGGREGATE,real_time|financial|sensitive,high_value,quarantined,False,True,NO,False
REC-Q9UJ3X19,Batch_Transform_03,Redshift_Cluster,user_events,analytics_core,2023-01-29 05:20:13,2023-04-23 23:57:15,0.8799,0.8521,206.15,1.0,8670183,0.059,0.0274,0.0364,v2.4,Orc,us-east-1,NORMALIZE|JOIN|FILTER,financial|pii,regulatory,ACTIVE,True,False,YES,False
REC-X7L61URP,ETL_Pipeline_01,FTP_Server,inventory,data_team_beta,2023-03-18 23:03:26,2024-09-11 23:35:41,0.9984,0.7566,122.68,5.0,1194907,0.0286,0.0059,0.0304,v5.5,json,ap-southeast-1,AGGREGATE,pii|financial,archival,validated,True,True,YES,False
REC-NULL-OWNER,ETL_Pipeline_01,Oracle_DB,sensor_readings,???,2024-01-19 10:18:22,2024-04-28 00:36:27,0.7653,0.9586,635.94,1.0,8814274,0.1058,0.0744,0.1014,v5.6,delta,us-east-1,ENCRYPT,internal|batch|financial,raw,validated,True,True,YES,False
REC-1LRCYACJ,Aggregation_05,Kafka_Stream,user_events,ml_platform,2023-01-15 07:22:12,2024-03-01 14:30:08,0.9898,0.7186,604.36,5.0,8953924,0.0749,0.0092,0.0777,v4.4,avro,us-east-1,ENCRYPT,pii|batch,regulatory,under_review,True,True,NO,False
REC-H6CMH9Q9,Reporting_07,PostgreSQL_DB,clickstream,data_team_alpha,2024-07-03 09:47:18,2024-10-26 05:26:06,0.889,0.8325,184.47,6.0,7683105,0.0098,0.0767,0.0453,v3.4,avro,us-west-2,JOIN|FILTER,pii|financial|operational,ml_ready,validated,True,True,YES,True
REC-E5U94FPP,Batch_Transform_03,MongoDB_Atlas,transactions,infra_team,2023-09-11 00:10:33,2024-02-29 13:02:24,Unknown,0.9096,626.02,6.0,4289923,0.1314,0.0017,0.2022,v4.4,parquet,eu-central-1,JOIN|AGGREGATE,batch|public|sensitive,low_latency,validated,False,False,YES,False
REC-D72QDV2N,Batch_Transform_03,Snowflake_DW,sensor_readings,data_team_beta,2024-04-20 13:11:30,2024-06-22 05:41:11,0.6221,0.8503,42.97,4.0,4831656,0.0736,0.0312,0.2646,v1.8,delta,ap-south-1,MERGE|JOIN,batch|real_time,raw,validated,False,True,YES,True
REC-9D6GLV1T,Stream_Ingest_02,MongoDB_Atlas,user_events,finance_ops,2023-05-09 10:09:35,2024-10-02 06:17:10,Unknown,0.8293,126.43,5.0,9012474,0.1187,0.0489,0.2488,v4.4,csv,eu-central-1,CAST,financial|operational,archival,deprecated,False,True,YES,False
REC-29FGSAXV,Batch_Transform_03,PostgreSQL_DB,financial_records,finance_ops,2023-02-19 05:07:55,2024-08-14 08:42:10,0.7151,0.7113,301.34,4.0,7057197,0.0856,0.0685,0.0322,v1.3,parquet,ap-southeast-1,ENRICH|MERGE|ENCRYPT|CAST,pii,archival,quarantined,False,True,YES,True
REC-WRATXYCP,Batch_Transform_03,MongoDB_Atlas,sensor_readings,ml_platform,2023-03-10 14:47:20,2023-10-03 15:31:23,0.8863,0.7516,221.68,4.0,5427774,0.1164,0.0304,0.1521,v3.7,json,ap-south-1,ENCRYPT,financial|pii|sensitive,ml_ready,under_review,False,False,NO,False
REC-ZZK030QF,Aggregation_05,FTP_Server,telemetry,bi_squad,2023-05-19 05:39:46,2024-01-08 08:24:07,0.9379,0.9768,224.13,5.0,5049281,0.0956,0.0558,0.1666,v5.5,parquet,ap-southeast-1,ENRICH|AGGREGATE,public|operational|real_time,raw,deprecated,True,True,YES,False
REC-H7R6ZYRB,Stream_Ingest_02,Redshift_Cluster,audit_logs,data_team_beta,2023-07-10 12:58:18,2024-01-04 14:15:45,0.6864,0.8131,100.79,6.0,8660108,0.032,0.0251,0.1361,v1.0,orc,ap-south-1,ENCRYPT,batch,low_latency,under_review,True,False,YES,False
REC-7TUOE0L0,Aggregation_05,MongoDB_Atlas,financial_records,bi_squad,2023-08-18 03:19:47,2024-06-15 11:33:58,0.7507,0.8638,4.37,6.0,273801,0.1116,0.0599,0.1673,v4.4,delta,us-west-2,NORMALIZE|AGGREGATE|FILTER|DEDUPLICATE,sensitive|real_time|batch,high_value,active,True,False,YES,False
REC-VGB9BC0G,Aggregation_05,MongoDB_Atlas,sensor_readings,bi_squad,2023-03-21 06:17:40,2023-06-20 02:16:37,0.8605,0.8667,203.8,7.0,7499650,0.0256,0.0507,0.0147,v1.6,csv,ap-south-1,NORMALIZE|JOIN|ENRICH|MERGE,real_time|internal|batch,regulatory,active,True,True,YES,False
REC-WEUK6NGB,ML_Feature_06,Kafka_Stream,user_events,data_team_beta,2023-04-03 07:51:46,2023-05-17 17:59:55,0.7558,0.7645,393.58,5.0,4680047,0.0314,0.0446,0.0922,v3.3,csv,ap-south-1,NORMALIZE,public,high_value,quarantined,True,True,YES,False
REC-7O7KDJEZ,ETL_Pipeline_01,Snowflake_DW,telemetry,ml_platform,2023-10-21 08:25:10,2024-05-14 00:29:19,0.9138,0.7451,629.96,8.0,6472232,0.1038,0.0274,0.2788,v3.1,avro,eu-central-1,DEDUPLICATE|MERGE,pii|internal,raw,quarantined,True,True,YES,False
REC-R1OMQ0GV,ETL_Pipeline_01,Snowflake_DW,transactions,finance_ops,2024-12-11 16:08:43,2024-12-20 11:49:07,0.9959,0.7929,471.04,8.0,1553402,0.0554,0.0651,0.2744,v4.4,parquet,ap-south-1,FILTER,operational|real_time|public,raw,validated,False,True,NO,False
REC-YX8OUHCF,Archival_08,REST_API_v2,sensor_readings,finance_ops,2023-08-30 00:29:47,2023-11-24 21:48:45,0.7047,0.8112,637.24,4.0,935387,0.0385,0.0318,0.0933,v4.1,avro,us-east-1,AGGREGATE|CAST|FILTER,public|pii|real_time,ml_ready,deprecated,True,False,NO,False
REC-Y900P8FM,Archival_08,MongoDB_Atlas,sensor_readings,bi_squad,2024-09-08 10:44:53,2024-12-14 07:27:28,0.6245,0.8293,464.65,1.0,6706564,0.0856,0.0773,0.246,v2.8,delta,us-west-2,AGGREGATE,real_time|sensitive,raw,quarantined,True,True,YES,True
REC-M3RP4WIX,ML_Feature_06,PostgreSQL_DB,user_events,bi_squad,2024-01-28 19:56:39,2024-10-01 04:04:30,0.8329,0.7938,542.16,1.0,8987830,0.1327,0.0199,0.0266,v5.8,delta,us-east-1,FILTER|NORMALIZE|SPLIT,real_time|public|pii,regulatory,under_review,False,True,NO,True
REC-82AQBS15,Archival_08,MySQL_Prod,user_events,data_team_beta,2023-03-04 05:03:52,2024-10-08 11:56:48,0.8621,0.9697,649.52,1.0,3889835,0.1311,0.0219,0.1242,v2.8,csv,us-east-1,SPLIT|NORMALIZE|ENCRYPT,batch|internal|real_time,low_latency,validated,True,False,NO,False
REC-3LYAH8RS,Batch_Transform_03,PostgreSQL_DB,audit_logs,data_team_alpha,2023-11-03 05:54:02,2024-11-28 22:13:06,0.6781,0.7954,43.84,2.0,5001713,0.0326,0.0347,0.1651,v1.5,csv,us-west-2,JOIN|FILTER|SPLIT|ENCRYPT,sensitive,archival,under_review,False,False,YES,True
REC-FJCH35IZ,Batch_Transform_03,Oracle_DB,sensor_readings,data_team_alpha,2024-02-24 13:21:37,2024-09-08 21:58:17,0.9749,0.7727,84.41,1.0,7332120,0.0878,0.0114,0.1279,v1.2,orc,ap-south-1,MERGE|JOIN,internal|public,ml_ready,under_review,False,True,NO,False
REC-9HIAOO8R,ETL_Pipeline_01,MongoDB_Atlas,clickstream,bi_squad,2023-09-25 10:04:15,2024-04-03 04:03:12,0.7084,0.9707,440.43,5.0,2716861,0.1077,0.0246,0.0909,v1.9,avro,ap-south-1,MERGE|CAST,pii|operational|financial,raw,validated,False,True,YES,False
REC-HX5FCC55,Aggregation_05,PostgreSQL_DB,transactions,analytics_core,2024-09-07 04:52:02,2024-11-29 01:57:46,0.9007,0.8416,571.35,5.0,8747967,0.1105,0.0741,0.1788,v4.7,csv,ap-south-1,JOIN|NORMALIZE,public|pii|real_time,high_value,active,False,True,YES,False
REC-WFBEFA2Y,Archival_08,Redshift_Cluster,transactions,finance_ops,2023-05-29 01:38:23,2023-11-13 14:35:30,0.7512,0.9417,252.42,8.0,4908727,0.0974,0.0231,0.1381,v5.7,json,us-west-2,ENRICH|DEDUPLICATE,sensitive|batch|real_time,archival,under_review,False,False,YES,True
REC-MK1EXU0L,Archival_08,MySQL_Prod,inventory,data_team_alpha,2023-07-15 18:32:57,Unknown,0.6458,0.7618,628.68,8.0,4140531,0.0306,0.0178,0.1397,v4.2,json,ap-south-1,DEDUPLICATE|AGGREGATE|CAST,internal|real_time,archival,active,False,False,YES,True
REC-3UIVMWL0,ML_Feature_06,Redshift_Cluster,sensor_readings,data_team_beta,2023-05-31 11:11:27,2024-11-20 12:21:21,bad,0.7903,471.94,6.0,many,0.045,0.066,0.0968,v4.4,csv,us-west-2,DEDUPLICATE,operational,regulatory,deprecated,False,True,YES,False
REC-Y5145JT7,CDC_Pipeline_04,MongoDB_Atlas,telemetry,ml_platform,2023-03-25 05:48:40,2024-05-08 23:46:53,0.7603,0.8447,615.76,8.0,3495345,0.0823,0.017,0.1373,v4.7,json,eu-central-1,MERGE,batch,archival,validated,False,True,YES,True
REC-MGGJNRLK,ETL_Pipeline_01,REST_API_v2,sensor_readings,data_team_beta,2024-09-07 19:57:24,2024-12-05 17:39:20,0.8305,0.7069,5.19,7.0,7738456,0.0211,0.0785,0.0221,v3.5,delta,us-west-2,JOIN|ENCRYPT|NORMALIZE,batch,high_value,quarantined,False,False,YES,True
REC-YLY5VDL9,CDC_Pipeline_04,S3_Bucket_A,clickstream,data_team_beta,2024-02-20 06:13:48,2024-05-26 04:30:29,0.6866,0.7443,473.02,8.0,2564963,0.1319,0.0711,0.1627,v4.4,csv,ap-south-1,DEDUPLICATE|NORMALIZE,financial|operational,archival,under_review,True,False,YES,False
REC-AZMLKIPV,Archival_08,MySQL_Prod,audit_logs,infra_team,2023-01-05 18:27:02,2023-03-10 22:11:25,0.8721,0.9219,386.96,8.0,703591,0.1398,0.0399,0.2669,v4.9,orc,us-east-1,JOIN,pii,regulatory,under_review,True,False,YES,False
REC-Z0M0XZE0,Reporting_07,Kafka_Stream,financial_records,bi_squad,2024-12-07 05:09:11,2024-12-15 03:24:52,0.9395,0.875,460.44,2.0,2578529,0.0308,0.002,0.0013,v2.1,delta,ap-south-1,NORMALIZE|DEDUPLICATE|ENRICH,real_time,high_value,validated,True,True,YES,True
REC-IMCWLL1E,ETL_Pipeline_01,Snowflake_DW,financial_records,infra_team,2023-03-22 17:54:38,2023-04-27 23:55:19,0.9554,0.8676,371.01,4.0,5883428,???,0.038,0.1172,v3.5,orc,us-west-2,MERGE,internal|batch|operational,raw,validated,True,True,YES,False
REC-QH22Q8YA,Archival_08,REST_API_v2,inventory,bi_squad,2023-06-13 22:19:02,2024-05-05 07:53:44,0.9191,0.7834,144.37,2.0,8161139,0.0287,0.0384,0.1848,v1.9,delta,ap-south-1,ENRICH|JOIN|SPLIT|FILTER,public|operational|financial,ml_ready,deprecated,True,False,YES,True
REC-5VP77ZAW,Batch_Transform_03,REST_API_v2,clickstream,bi_squad,2023-01-29 20:43:45,2024-12-24 13:44:47,0.635,0.8726,279.26,2.0,1293988,0.1123,0.0502,0.019,v1.6,parquet,ap-south-1,ENRICH|MERGE|JOIN,financial|internal|public,raw,under_review,True,False,YES,False
REC-UW3D9I08,Batch_Transform_03,MongoDB_Atlas,transactions,finance_ops,2023-07-07 06:18:17,2024-12-11 21:02:31,Unknown,0.9499,400.11,3.0,8673032,0.0417,0.0199,0.2075,v4.4,csv,us-east-1,AGGREGATE|SPLIT|ENRICH,public|batch|real_time,raw,validated,False,False,NO,False
REC-SAB7Z41D,ETL_Pipeline_01,Redshift_Cluster,user_events,bi_squad,2023-01-26 16:55:12,2024-04-28 18:50:14,0.8213,0.8324,621.22,2.0,7783275,0.1498,0.0159,0.0768,v4.2,json,ap-south-1,NORMALIZE|FILTER,internal,ml_ready,validated,False,False,YES,False
REC-TW2RN7UJ,Batch_Transform_03,Redshift_Cluster,audit_logs,bi_squad,2024-07-05 08:54:23,2024-10-06 16:07:52,0.5784,0.9113,697.42,7.0,7333111,0.0308,0.035,0.1479,v4.9,csv,ap-southeast-1,AGGREGATE|MERGE|ENRICH|NORMALIZE,internal,ml_ready,validated,False,True,YES,False
REC-YGYGVV7A,Archival_08,Snowflake_DW,sensor_readings,bi_squad,2023-08-01 23:14:24,2023-08-21 17:04:52,0.6368,0.9476,570.49,1.0,7323595,0.0356,0.0088,0.039,v5.9,csv,ap-south-1,CAST|FILTER|MERGE,financial,ml_ready,validated,False,True,YES,True
REC-JDP85HOL,Stream_Ingest_02,MySQL_Prod,inventory,data_team_alpha,2024-07-29 19:30:38,2024-11-25 06:42:13,0.6342,0.8024,120.51,3.0,6823302,0.0244,0.0556,0.1301,v3.6,json,eu-central-1,SPLIT|ENCRYPT,operational|financial,archival,quarantined,True,True,YES,False
REC-TCMRATCP,Stream_Ingest_02,MongoDB_Atlas,financial_records,analytics_core,2023-12-14 07:26:02,2024-05-02 13:03:50,0.9567,0.7184,76.72,5.0,8434383,0.0995,0.0738,0.1704,v3.1,delta,ap-south-1,ENCRYPT|CAST|AGGREGATE,financial|internal|pii,regulatory,deprecated,False,True,YES,False
REC-FN3KCS0B,Batch_Transform_03,MySQL_Prod,sensor_readings,analytics_core,2024-02-20 10:15:14,2024-10-02 22:40:53,0.6608,0.7473,43.52,8.0,9902265,0.0835,0.0412,0.224,v2.8,avro,us-east-1,ENCRYPT|FILTER,pii,raw,under_review,True,True,YES,True
REC-OVCFXPYD,CDC_Pipeline_04,FTP_Server,sensor_readings,bi_squad,2023-09-24 15:04:24,2023-09-27 03:53:08,2.5,0.9157,441.39,3.0,2196820,0.0966,0.0721,0.2186,v4.1,delta,us-east-1,CAST,public,archival,active,True,True,YES,False
REC-HDA1X4FL,Reporting_07,MongoDB_Atlas,financial_records,analytics_core,2024-06-27 11:33:15,2024-09-15 04:51:43,0.8263,0.9471,217.73,1.0,7997988,0.0437,0.0693,0.0068,v3.3,parquet,eu-central-1,JOIN,real_time|pii,raw,quarantined,True,True,YES,False
REC-92M25OCZ,Archival_08,Redshift_Cluster,sensor_readings,analytics_core,2024-04-15 04:04:25,2024-07-10 14:27:03,0.8319,0.7132,626.27,6.0,1901741,0.0174,0.0127,0.193,v4.4,orc,us-west-2,CAST|FILTER,pii|public,low_latency,active,False,True,YES,False
REC-6NQJOBGC,Reporting_07,S3_Bucket_A,financial_records,infra_team,2024-11-30 21:59:17,2024-12-27 14:39:34,0.682,0.8914,591.0,5.0,80276,0.1056,0.0099,0.0208,v3.5,delta,us-west-2,CAST|FILTER|MERGE|SPLIT,pii|public|sensitive,ml_ready,under_review,False,True,NO,False
REC-09FFJECO,ETL_Pipeline_01,Redshift_Cluster,transactions,data_team_beta,2023-12-17 01:54:09,2024-09-08 11:31:32,0.7748,0.7782,64.73,2.0,9017639,0.0679,0.0079,0.2032,v4.5,AVRO,eu-central-1,NORMALIZE|SPLIT,real_time|operational,high_value,DEPRECATED,False,True,YES,False
REC-O3OGBXT0,Stream_Ingest_02,PostgreSQL_DB,inventory,finance_ops,2024-03-09 16:18:02,2024-04-27 22:53:23,0.5444,0.9135,653.06,8.0,5501493,0.0894,0.0557,0.2498,v4.8,avro,ap-south-1,NORMALIZE|SPLIT|AGGREGATE|FILTER,pii,archival,validated,True,True,NO,False
REC-BADPJ7R2,Batch_Transform_03,MongoDB_Atlas,financial_records,data_team_alpha,2024-05-21 09:48:15,2024-08-29 07:28:46,0.8506,0.8725,111.94,8.0,Unknown,0.1343,0.0381,0.045,v2.2,avro,us-east-1,JOIN|CAST,internal,low_latency,active,True,True,NO,False
REC-J2TVG4HL,Stream_Ingest_02,Oracle_DB,transactions,data_team_beta,2024-12-04 13:59:23,2024-12-04 21:48:54,0.6252,0.7218,427.17,3.0,1203818,0.1349,0.0754,0.0611,v3.8,avro,us-east-1,AGGREGATE|ENCRYPT|FILTER|ENRICH,pii|financial,high_value,deprecated,False,False,YES,False
REC-3V6YFA7H,Batch_Transform_03,Redshift_Cluster,user_events,ml_platform,2024-10-14 09:50:03,2024-10-29 03:30:24,0.8437,0.8293,286.19,3.0,2434442,0.1446,0.0204,0.2921,v2.2,parquet,ap-southeast-1,MERGE,internal|public,raw,deprecated,True,False,YES,True
